;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;
TIME;FROM;Amstel;Amstelveenseweg;Buikslotermeer;Centraal;Dam;Evertsenstraat;Floradorp;Haarlemmermeerstation;Hasseltweg;Hendrikkade;Leidseplein;Lelylaan;Muiderpoort;Museumplein;RAI;SciencePark;Sloterdijk;Surinameplein;UvA;VU;Waterlooplein;Weesperplein;Wibautstraat;Zuid
0:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:15;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7:00;Amstel;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0
7:15;Amstel;1;1;0;0;0;0;1;0;0;0;1;1;1;2;1;0;1;0;0;1;0;0;1;1
7:30;Amstel;3;2;0;4;1;1;1;0;1;0;5;0;2;1;3;0;1;0;0;5;0;1;2;1
7:45;Amstel;4;0;1;3;5;5;3;7;2;1;2;1;5;3;3;1;4;1;0;4;2;0;1;3
8:00;Amstel;4;2;0;6;1;4;0;0;2;1;1;0;0;2;2;4;3;1;4;1;2;2;2;4
8:15;Amstel;2;2;0;1;1;2;3;3;1;0;1;2;5;1;5;1;6;1;6;2;1;1;1;0
8:30;Amstel;5;1;0;1;3;0;3;4;2;1;4;1;3;6;5;2;6;1;4;7;2;1;0;6
8:45;Amstel;0;1;1;2;5;3;0;4;1;0;4;3;3;3;4;2;6;0;5;4;2;2;0;7
9:00;Amstel;0;3;1;9;6;0;1;2;2;1;1;5;3;1;4;6;3;0;7;3;1;2;2;5
9:15;Amstel;0;0;1;6;3;1;1;3;2;0;4;2;1;2;2;1;1;0;1;4;1;0;1;1
9:30;Amstel;0;1;0;3;4;2;2;2;1;1;3;3;3;4;2;2;1;1;1;4;0;0;1;1
9:45;Amstel;1;1;0;1;3;0;1;1;0;0;1;1;2;1;2;1;1;0;3;1;0;1;0;3
10:00;Amstel;1;1;0;2;1;1;1;2;0;0;0;1;1;1;0;1;1;0;2;0;1;0;0;1
10:15;Amstel;1;1;0;2;1;1;1;0;0;0;0;1;2;1;1;2;1;0;0;0;1;0;0;1
10:30;Amstel;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;2;1;0;1;0;0;1;1;0
10:45;Amstel;0;1;0;1;0;1;1;2;0;0;0;1;0;2;1;1;1;0;1;2;0;0;0;1
11:00;Amstel;0;1;0;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1
11:15;Amstel;1;0;0;1;1;0;1;2;0;0;2;1;0;0;1;1;1;0;2;2;0;0;0;1
11:30;Amstel;1;0;0;1;2;1;0;2;1;0;2;1;0;1;0;1;1;0;1;1;0;0;1;1
11:45;Amstel;0;1;0;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0
12:00;Amstel;1;1;0;1;0;0;1;2;1;0;0;0;2;2;2;2;0;0;2;1;0;0;1;2
12:15;Amstel;2;1;0;1;1;2;1;2;0;0;3;2;0;2;0;2;3;0;3;2;0;1;0;3
12:30;Amstel;2;1;0;3;2;1;1;0;0;0;1;2;1;0;2;2;0;0;0;0;1;1;0;2
12:45;Amstel;2;0;0;0;3;2;0;2;0;0;2;0;2;3;2;2;3;0;1;0;1;1;0;2
13:00;Amstel;1;1;0;2;0;2;1;3;0;0;3;1;0;2;2;1;2;0;0;1;1;0;0;3
13:15;Amstel;1;1;0;2;2;1;1;2;1;0;2;1;2;2;0;1;1;0;2;2;1;0;1;0
13:30;Amstel;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;2
13:45;Amstel;1;1;0;1;1;1;0;0;0;0;2;1;1;1;2;1;2;0;0;1;0;0;0;0
14:00;Amstel;1;0;0;1;2;1;0;1;0;0;0;1;0;0;0;2;1;0;2;0;1;0;1;1
14:15;Amstel;1;0;0;1;1;1;1;0;0;0;2;1;1;0;1;1;0;0;2;0;0;0;1;1
14:30;Amstel;0;1;0;3;2;0;1;2;0;0;1;0;1;1;1;1;0;0;2;1;0;0;0;0
14:45;Amstel;1;1;0;0;1;1;0;0;0;0;1;1;2;1;1;0;1;0;0;2;0;0;1;2
15:00;Amstel;0;0;0;1;1;1;0;1;0;0;2;1;0;0;1;0;1;0;1;1;0;0;0;1
15:15;Amstel;0;0;0;2;1;0;0;1;1;0;0;0;1;2;1;1;1;0;1;1;0;0;1;1
15:30;Amstel;1;1;0;2;2;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1
15:45;Amstel;1;0;0;2;2;1;0;1;0;0;2;1;1;1;1;1;0;0;0;2;0;1;0;1
16:00;Amstel;1;2;0;3;3;1;1;5;1;1;3;1;1;0;3;2;1;1;4;3;0;1;0;5
16:15;Amstel;1;1;1;6;2;3;2;3;2;1;2;2;1;5;2;3;1;0;2;2;1;0;0;3
16:30;Amstel;3;3;0;7;3;4;1;0;2;1;5;3;3;1;0;5;1;0;1;1;0;0;1;2
16:45;Amstel;3;1;1;7;3;2;2;4;1;0;1;2;5;6;5;3;6;0;1;0;0;1;1;0
17:00;Amstel;4;1;1;9;1;1;3;2;1;0;2;3;5;6;1;1;1;1;6;4;2;1;1;5
17:15;Amstel;2;2;1;7;4;2;2;3;1;1;3;0;6;7;1;3;7;0;7;3;0;0;1;4
17:30;Amstel;5;0;0;8;6;2;3;3;0;1;2;2;1;4;3;5;1;1;0;3;0;2;0;5
17:45;Amstel;2;2;0;8;5;4;0;6;0;1;1;1;3;2;4;5;3;0;4;2;0;0;1;2
18:00;Amstel;1;3;1;8;6;1;2;4;2;0;5;1;5;4;3;4;7;0;2;3;0;0;0;1
18:15;Amstel;1;2;1;9;8;2;4;2;2;0;2;5;0;8;2;5;5;1;3;1;3;1;1;3
18:30;Amstel;3;0;0;6;3;0;1;3;1;0;2;1;2;2;1;2;4;0;5;5;1;1;1;4
18:45;Amstel;0;0;0;5;0;0;2;4;1;0;2;2;3;1;0;2;2;0;0;3;0;0;0;2
19:00;Amstel;1;1;0;2;2;1;1;0;0;0;0;1;1;0;0;2;3;0;0;2;0;0;0;2
19:15;Amstel;1;0;0;1;0;0;0;2;0;0;1;1;1;0;0;0;2;0;0;2;0;0;0;0
